Time (s), Raw Data By Channel
0.021097, 1.408499E+0, 1.398929E+0
0.022097, 1.408499E+0, 1.409125E+0
0.023097, 1.408499E+0, 1.398929E+0
0.024097, 1.408499E+0, 1.398929E+0
0.025097, 1.408499E+0, 1.398929E+0
0.026097, 1.408499E+0, 1.409125E+0
0.027097, 1.408499E+0, 1.398929E+0
0.028097, 1.398297E+0, 1.398929E+0
0.029097, 1.398297E+0, 1.398929E+0
0.030097, 1.408499E+0, 1.398929E+0
0.031097, 1.398297E+0, 1.398929E+0
0.032097, 1.398297E+0, 1.398929E+0
0.033097, 1.398297E+0, 1.398929E+0
0.034097, 1.408499E+0, 1.398929E+0
0.035097, 1.408499E+0, 1.409125E+0
0.036097, 1.408499E+0, 1.398929E+0
0.037097, 1.408499E+0, 1.398929E+0
0.038097, 1.398297E+0, 1.398929E+0
0.039097, 1.408499E+0, 1.409125E+0
0.040097, 1.398297E+0, 1.398929E+0
0.041097, 1.408499E+0, 1.398929E+0
0.042097, 1.408499E+0, 1.409125E+0
0.043097, 1.408499E+0, 1.398929E+0
0.044097, 1.398297E+0, 1.409125E+0
0.045097, 1.398297E+0, 1.398929E+0
0.046097, 1.408499E+0, 1.398929E+0
0.047097, 1.408499E+0, 1.409125E+0
0.048097, 1.408499E+0, 1.409125E+0
0.049097, 1.408499E+0, 1.409125E+0
0.050097, 1.408499E+0, 1.409125E+0
0.051097, 1.398297E+0, 1.409125E+0
0.052097, 1.398297E+0, 1.409125E+0
0.053097, 1.408499E+0, 1.398929E+0
, , 
0.054097, 1.408499E+0, 1.409125E+0
0.055097, 1.398297E+0, 1.398929E+0
0.056097, 1.398297E+0, 1.398929E+0
0.057097, 1.408499E+0, 1.409125E+0
0.058097, 1.408499E+0, 1.409125E+0
0.059097, 1.398297E+0, 1.409125E+0
0.060097, 1.408499E+0, 1.409125E+0
0.061097, 1.408499E+0, 1.398929E+0
0.062097, 1.398297E+0, 1.398929E+0
0.063097, 1.408499E+0, 1.409125E+0
0.064097, 1.398297E+0, 1.398929E+0
0.065097, 1.398297E+0, 1.398929E+0
0.066097, 1.398297E+0, 1.409125E+0
0.067097, 1.398297E+0, 1.398929E+0
0.068097, 1.408499E+0, 1.409125E+0
0.069097, 1.398297E+0, 1.409125E+0
0.070097, 1.408499E+0, 1.409125E+0
0.071097, 1.408499E+0, 1.409125E+0
0.072097, 1.408499E+0, 1.409125E+0
0.073097, 1.398297E+0, 1.398929E+0
0.074097, 1.408499E+0, 1.409125E+0
0.075097, 1.408499E+0, 1.398929E+0
0.076097, 1.398297E+0, 1.398929E+0
0.077097, 1.408499E+0, 1.409125E+0
0.078097, 1.398297E+0, 1.398929E+0
0.079097, 1.398297E+0, 1.398929E+0
0.080097, 1.408499E+0, 1.409125E+0
0.081097, 1.408499E+0, 1.409125E+0
0.082097, 1.408499E+0, 1.409125E+0
0.083097, 1.398297E+0, 1.398929E+0
0.084097, 1.408499E+0, 1.398929E+0
0.085097, 1.408499E+0, 1.409125E+0
0.086097, 1.408499E+0, 1.409125E+0
, , 
0.087097, 1.398297E+0, 1.398929E+0
0.088097, 1.408499E+0, 1.409125E+0
0.089097, 1.408499E+0, 1.409125E+0
0.090097, 1.398297E+0, 1.409125E+0
0.091097, 1.408499E+0, 1.409125E+0
0.092097, 1.408499E+0, 1.409125E+0
0.093097, 1.408499E+0, 1.398929E+0
0.094097, 1.398297E+0, 1.409125E+0
0.095097, 1.398297E+0, 1.398929E+0
0.096097, 1.398297E+0, 1.409125E+0
0.097097, 1.398297E+0, 1.398929E+0
0.098097, 1.398297E+0, 1.398929E+0
0.099097, 1.398297E+0, 1.409125E+0
0.100097, 1.398297E+0, 1.398929E+0
0.101097, 1.398297E+0, 1.398929E+0
0.102097, 1.408499E+0, 1.409125E+0
0.103097, 1.408499E+0, 1.409125E+0
0.104097, 1.408499E+0, 1.409125E+0
0.105097, 1.408499E+0, 1.409125E+0
0.106097, 1.398297E+0, 1.398929E+0
0.107097, 1.408499E+0, 1.398929E+0
0.108097, 1.408499E+0, 1.398929E+0
0.109097, 1.408499E+0, 1.398929E+0
0.110097, 1.398297E+0, 1.409125E+0
0.111097, 1.408499E+0, 1.398929E+0
0.112097, 1.398297E+0, 1.409125E+0
0.113097, 1.408499E+0, 1.398929E+0
0.114097, 1.398297E+0, 1.398929E+0
0.115097, 1.408499E+0, 1.409125E+0
0.116097, 1.398297E+0, 1.398929E+0
0.117097, 1.398297E+0, 1.398929E+0
0.118097, 1.408499E+0, 1.409125E+0
0.119097, 1.408499E+0, 1.398929E+0
, , 
0.120097, 1.398297E+0, 1.398929E+0
0.121097, 1.398297E+0, 1.409125E+0
0.122097, 1.408499E+0, 1.398929E+0
0.123097, 1.408499E+0, 1.409125E+0
0.124097, 1.398297E+0, 1.398929E+0
0.125097, 1.408499E+0, 1.409125E+0
0.126097, 1.398297E+0, 1.398929E+0
0.127097, 1.408499E+0, 1.398929E+0
0.128097, 1.408499E+0, 1.398929E+0
0.129097, 1.398297E+0, 1.398929E+0
0.130097, 1.408499E+0, 1.409125E+0
0.131097, 1.408499E+0, 1.409125E+0
0.132097, 1.398297E+0, 1.398929E+0
0.133097, 1.408499E+0, 1.398929E+0
0.134097, 1.398297E+0, 1.398929E+0
0.135097, 1.408499E+0, 1.409125E+0
0.136097, 1.408499E+0, 1.409125E+0
0.137097, 1.398297E+0, 1.409125E+0
0.138097, 1.408499E+0, 1.409125E+0
0.139097, 1.408499E+0, 1.409125E+0
0.140097, 1.408499E+0, 1.398929E+0
0.141097, 1.398297E+0, 1.398929E+0
