Time (s), Activation By Channel (% of MVC)
-0.023192, 7.193618E-3, 2.030011E-3
-0.022192, 4.783664E-3, 9.630319E-4
-0.021192, 5.896528E-3, 8.549832E-3
-0.020192, 4.727795E-3, 6.389153E-3
-0.019192, 3.718574E-3, 4.108535E-3
-0.018192, 5.802977E-3, 5.821811E-3
-0.017192, 4.960618E-3, 4.605946E-3
-0.016192, 3.866955E-3, 5.390047E-3
-0.015192, 5.730950E-3, 4.976371E-3
-0.014192, 4.964493E-3, 3.574410E-3
-0.013192, 3.810889E-3, 6.253887E-3
-0.012192, 2.817822E-3, 4.262038E-3
-0.011192, 6.685647E-3, 2.992614E-3
-0.010192, 4.558021E-3, 6.718930E-3
-0.009192, 2.786194E-3, 4.751938E-3
-0.008192, 1.334285E-3, 3.092863E-3
-0.007192, 8.488372E-3, 1.712668E-3
-0.006192, 2.097788E-3, 5.836777E-4
-0.005192, 7.723248E-3, 8.971454E-3
-0.004192, 2.853934E-3, 6.835630E-3
-0.003192, 6.985460E-3, 4.998679E-3
-0.002192, 3.565190E-3, 5.216327E-3
-0.001192, 2.348934E-3, 3.692119E-3
-0.000192, 1.361855E-3, 2.418608E-3
0.000808, 8.079423E-3, 1.370271E-3
0.001808, 2.811873E-3, 5.229931E-4
0.002808, 1.883481E-3, 1.459324E-4
0.003808, 7.520601E-3, 6.578150E-4
0.004808, 5.267609E-3, 1.032576E-3
0.005808, 3.352243E-3, 9.939818E-3
0.006808, 1.745516E-3, 7.254733E-3
0.007808, 8.237217E-3, 3.691555E-3
0.008808, 6.467861E-3, 5.860583E-3
, , 
0.009808, 3.710311E-3, 3.770670E-3
0.010808, 6.491111E-3, 2.022150E-3
0.011808, 4.921100E-3, 5.829566E-4
0.012808, 3.581143E-3, 9.228662E-3
0.013808, 6.207274E-3, 7.299996E-3
0.014808, 4.309721E-3, 5.625222E-3
0.015808, 2.719666E-3, 4.468305E-3
0.016808, 1.407327E-3, 2.859119E-3
0.017808, 8.312329E-3, 7.118005E-3
0.018808, 6.311207E-3, 5.350540E-3
0.019808, 4.588871E-3, 4.818334E-3
0.020808, 3.121340E-3, 5.382794E-3
0.021808, 1.885704E-3, 4.826130E-3
0.022808, 8.601175E-4, 3.308531E-3
0.023808, 8.632868E-3, 2.052051E-3
0.024808, 6.457952E-3, 7.621973E-3
0.025808, 4.048759E-3, 3.053501E-3
0.026808, 2.762587E-3, 1.945724E-3
0.027808, 6.970196E-3, 1.046143E-3
0.028808, 5.015200E-3, 3.309186E-4
0.029808, 3.366097E-3, 2.222430E-4
0.030808, 6.663228E-3, 6.341108E-4
0.031808, 3.710962E-3, 9.239535E-4
0.032808, 2.333096E-3, 9.760623E-3
0.033808, 1.200282E-3, 1.632578E-3
0.034808, 8.370165E-3, 1.132370E-3
