Time, Activation By Channel (% of MVC)
-0.023192, 1.408499E+0, 1.398929E+0
-0.022192, 1.408499E+0, 1.398929E+0
-0.021192, 1.398297E+0, 1.409125E+0
-0.020192, 1.398297E+0, 1.409125E+0
-0.019192, 1.398297E+0, 1.398929E+0
-0.018192, 1.408499E+0, 1.409125E+0
-0.017192, 1.398297E+0, 1.398929E+0
-0.016192, 1.398297E+0, 1.409125E+0
-0.015192, 1.408499E+0, 1.398929E+0
-0.014192, 1.398297E+0, 1.398929E+0
-0.013192, 1.398297E+0, 1.409125E+0
-0.012192, 1.398297E+0, 1.398929E+0
-0.011192, 1.408499E+0, 1.398929E+0
-0.010192, 1.408499E+0, 1.409125E+0
-0.009192, 1.408499E+0, 1.409125E+0
-0.008192, 1.408499E+0, 1.409125E+0
-0.007192, 1.398297E+0, 1.409125E+0
-0.006192, 1.408499E+0, 1.409125E+0
-0.005192, 1.398297E+0, 1.398929E+0
-0.004192, 1.408499E+0, 1.398929E+0
-0.003192, 1.398297E+0, 1.398929E+0
-0.002192, 1.408499E+0, 1.409125E+0
-0.001192, 1.408499E+0, 1.409125E+0
-0.000192, 1.408499E+0, 1.409125E+0
0.000808, 1.398297E+0, 1.409125E+0
0.001808, 1.408499E+0, 1.409125E+0
0.002808, 1.408499E+0, 1.409125E+0
0.003808, 1.398297E+0, 1.409125E+0
0.004808, 1.398297E+0, 1.409125E+0
0.005808, 1.398297E+0, 1.398929E+0
0.006808, 1.398297E+0, 1.398929E+0
0.007808, 1.408499E+0, 1.409125E+0
0.008808, 1.408499E+0, 1.398929E+0
, , 
0.009808, 1.398297E+0, 1.398929E+0
0.010808, 1.408499E+0, 1.398929E+0
0.011808, 1.408499E+0, 1.398929E+0
0.012808, 1.408499E+0, 1.409125E+0
0.013808, 1.398297E+0, 1.409125E+0
0.014808, 1.398297E+0, 1.409125E+0
0.015808, 1.398297E+0, 1.398929E+0
0.016808, 1.398297E+0, 1.398929E+0
0.017808, 1.408499E+0, 1.409125E+0
0.018808, 1.408499E+0, 1.409125E+0
0.019808, 1.408499E+0, 1.398929E+0
0.020808, 1.408499E+0, 1.409125E+0
0.021808, 1.408499E+0, 1.398929E+0
0.022808, 1.408499E+0, 1.398929E+0
0.023808, 1.398297E+0, 1.398929E+0
0.024808, 1.398297E+0, 1.409125E+0
0.025808, 1.408499E+0, 1.398929E+0
