Time (s), Percentage Displayed
0.027105, 83.664984
0.065171, 83.664984
0.099289, 84.100217
0.133355, 83.492108
0.168476, 88.856171
0.201536, 87.011301
0.234652, 87.011301
0.266737, 94.354776
0.299795, 94.354776
0.332923, 93.252969
0.366013, 95.327499
0.399102, 94.205860
0.432151, 94.205860
0.465264, 92.829627
0.498351, 92.829627
0.532441, 81.842479
0.565504, 77.015705
0.598591, 73.947139
0.630702, 73.947139
0.663803, 73.756302
0.696891, 74.000418
0.729980, 67.326077
0.763028, 69.238631
0.796158, 69.845603
0.829243, 70.106053
0.862331, 70.732078
0.895419, 75.277275
0.928507, 70.770273
0.962587, 79.108667
0.994684, 81.468724
1.028762, 82.771583
1.061822, 82.771583
1.094911, 82.153389
1.129042, 80.514463
1.162129, 87.802401
1.195177, 87.802401
1.228307, 89.823972
1.261395, 89.724834
1.294471, 89.192492
1.327558, 91.021206
1.359662, 91.026627
1.393732, 88.933499
1.426837, 91.446696
1.460886, 91.174453
1.495015, 86.867199
1.528105, 90.066179
1.562178, 94.444912
1.595241, 95.397724
1.629358, 98.917119
1.662458, 98.489819
1.695549, 97.708701
1.728594, 98.106168
1.760680, 99.678389
1.793770, 99.678389
1.827889, 101.212338
1.860987, 95.596339
1.895066, 95.596339
1.928144, 96.870275
1.962216, 91.446961
1.996338, 95.967305
2.030396, 96.337477
2.063484, 93.305750
2.096573, 92.785431
2.128677, 88.604519
2.161746, 85.988092
2.194834, 84.830760
2.227922, 86.481596
2.261010, 83.091888
2.295100, 85.166029
2.329226, 75.175505
2.362278, 81.600031
2.395367, 85.472178
2.428456, 87.750435
2.461544, 84.716355
2.495634, 81.746803
2.527750, 84.604563
2.560835, 84.534493
2.593925, 80.450089
2.626985, 81.497201
2.660106, 82.972397
2.693159, 82.978365
2.727285, 81.166616
2.760338, 84.016216
2.793427, 78.186041
2.827545, 88.169950
2.860605, 85.978085
2.892688, 86.314952
2.925780, 82.389436
2.958892, 84.190393
2.992960, 90.779735
3.026052, 83.839198
3.059171, 86.153160
3.093223, 83.043144
3.126310, 85.083450
3.160432, 84.567791
3.193491, 83.482108
3.226577, 84.312452
3.258709, 83.412482
3.291750, 88.111951
3.324864, 86.195430
3.357926, 87.292377
3.391047, 86.680239
3.424102, 88.383061
3.457190, 89.729377
3.490279, 89.269218
3.524368, 92.243998
3.557456, 84.769832
3.590544, 92.141283
3.623632, 91.113544
3.655749, 94.212573
3.689810, 98.305677
3.722897, 98.823437
3.755983, 94.565295
3.789072, 91.981147
3.822159, 95.878900
3.855281, 94.323053
3.888335, 93.034510
3.921454, 90.360639
3.954542, 92.290593
3.987599, 91.449001
4.019717, 94.360238
4.052802, 90.275022
4.085861, 88.602001
4.118950, 87.016534
4.152037, 83.196432
4.185150, 72.226192
4.218213, 73.988812
4.252305, 77.023113
4.285391, 71.112116
4.318480, 71.890276
