Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)500	MVC Window Size (s): 500	Seconds To Acquire MVC: 3	Display Channel: 0
11/14/2017  15:40:10.263331	8.262001E-3	1.131486E-1	9.500162E-3	1.937091E-3	1.335968E-3	3.097237E-3	3.803264E-3	1.344421E-4
11/14/2017  15:40:10.264331	7.281111E-3	1.211851E-1	1.630416E-2	2.217260E-2	7.981182E-3	9.309443E-3	1.680573E-3	5.332893E-4
11/14/2017  15:40:10.265331	3.418388E-3	1.990705E-2	1.050588E-3	3.099565E-3	8.096683E-3	2.556068E-3	1.228186E-3	7.526358E-3
11/14/2017  15:40:10.266331	4.488397E-3	1.956437E-1	1.430420E-2	1.342987E-2	7.347448E-3	2.457615E-3	1.326425E-3	1.010224E-2
11/14/2017  15:40:10.267331	7.911583E-3	9.663354E-2	1.235232E-3	5.534278E-3	1.330436E-3	1.559288E-2	3.120101E-3	1.450816E-3
11/14/2017  15:40:10.268331	5.707539E-3	1.291736E-1	5.401860E-4	2.643630E-3	1.138358E-3	1.105263E-2	8.671229E-3	3.236456E-3
11/14/2017  15:40:10.269331	4.782253E-3	4.516365E-2	4.736323E-3	4.572328E-3	7.952818E-3	4.722568E-3	1.639588E-3	2.189830E-3
11/14/2017  15:40:10.270331	8.099410E-4	1.721838E-1	4.041251E-3	3.384426E-3	7.520744E-3	3.641132E-3	7.856264E-3	2.615888E-3
11/14/2017  15:40:10.271331	9.103695E-3	9.737381E-2	3.379040E-3	2.458182E-3	1.026142E-3	9.449984E-4	7.890047E-3	5.447239E-4
11/14/2017  15:40:10.272331	8.154440E-3	1.564116E-1	9.232516E-3	4.835726E-3	1.234914E-2	3.119605E-3	9.711814E-3	2.826285E-3
11/14/2017  15:40:10.273331	1.602783E-3	1.339266E-1	2.117039E-3	3.415334E-3	2.521960E-4	1.498123E-3	4.676297E-3	6.522994E-3
11/14/2017  15:40:10.274331	1.080066E-2	6.918279E-2	1.239126E-2	9.063585E-5	7.205389E-3	8.793828E-3	1.429966E-2	4.573803E-3
11/14/2017  15:40:10.275331	1.894960E-3	1.737128E-1	1.316283E-2	2.021643E-3	5.385867E-3	1.239022E-2	9.362448E-3	3.533398E-3
11/14/2017  15:40:10.276331	2.406105E-3	1.544379E-1	1.366388E-2	1.179719E-2	3.344876E-3	1.298019E-3	2.231898E-3	4.912243E-3
11/14/2017  15:40:10.277331	1.035336E-3	5.478257E-2	3.956328E-3	4.745542E-3	4.830761E-3	8.465479E-3	5.598637E-3	7.268229E-3
11/14/2017  15:40:10.278331	1.946272E-2	1.850356E-1	7.130973E-4	5.118704E-3	6.228953E-3	2.529097E-3	9.541946E-3	2.744321E-3
11/14/2017  15:40:10.279331	1.392682E-2	1.346612E-1	2.538511E-3	3.295288E-3	4.824964E-3	2.519525E-3	1.572796E-2	7.144872E-3
11/14/2017  15:40:10.280331	8.015803E-3	2.222640E-3	1.612952E-3	6.880238E-3	7.189972E-4	1.324322E-2	1.076335E-2	1.179986E-2
11/14/2017  15:40:10.281331	8.426895E-3	2.376452E-2	2.262264E-3	5.315772E-3	4.670672E-3	5.265121E-3	1.210841E-2	1.131220E-2
11/14/2017  15:40:10.282331	8.871381E-3	9.505911E-2	2.772718E-2	1.827464E-3	1.218955E-2	1.153535E-2	1.339166E-2	5.869299E-3
11/14/2017  15:40:10.283331	1.454960E-3	1.040269E-1	7.079508E-3	1.586063E-2	1.078814E-2	1.574198E-2	9.577677E-3	1.128434E-2
11/14/2017  15:40:10.284331	1.049828E-2	1.182415E-1	8.119047E-3	8.916967E-3	3.748010E-3	2.060079E-3	6.585716E-3	1.016775E-2
11/14/2017  15:40:10.285331	7.298950E-4	8.323918E-2	3.578776E-3	1.029772E-2	5.455592E-3	1.915313E-2	6.997793E-4	6.257621E-3
11/14/2017  15:40:10.286331	4.201947E-3	7.571596E-2	2.031406E-3	2.349731E-3	4.322644E-6	3.946812E-3	2.929810E-3	2.742660E-3
11/14/2017  15:40:10.287331	5.346948E-3	1.780374E-2	1.031750E-2	1.145429E-2	2.598209E-3	5.308843E-3	1.054964E-4	8.759300E-3
