Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)500	MVC Window Size (s): 500	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123	11/14/2017  15:40:10.292123
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
11/14/2017  15:40:10.296331	1.393612E+0	5.321368E-1	1.385782E+0	-1.021015E+1	1.396651E+0	1.380494E+0	1.384194E+0	1.385011E+0
11/14/2017  15:40:10.297331	1.383444E+0	5.346806E-1	1.390873E+0	-1.020506E+1	1.389001E+0	1.393214E+0	1.391823E+0	1.390098E+0
11/14/2017  15:40:10.298331	1.383444E+0	7.890647E-1	1.385782E+0	-1.021779E+1	1.381351E+0	1.388126E+0	1.394366E+0	1.377379E+0
11/14/2017  15:40:10.299331	1.375818E+0	5.499437E-1	1.398508E+0	-1.020761E+1	1.378801E+0	1.395758E+0	1.407080E+0	1.395186E+0
11/14/2017  15:40:10.300331	1.391070E+0	6.186274E-1	1.385782E+0	-1.021015E+1	1.391551E+0	1.408478E+0	1.394366E+0	1.390098E+0
11/14/2017  15:40:10.301331	1.388528E+0	7.178371E-1	1.388327E+0	-1.021779E+1	1.396651E+0	1.388126E+0	1.381651E+0	1.379923E+0
11/14/2017  15:40:10.302331	1.380902E+0	6.949426E-1	1.390873E+0	-1.021525E+1	1.396651E+0	1.400846E+0	1.394366E+0	1.379923E+0
11/14/2017  15:40:10.303331	1.383444E+0	7.229248E-1	1.385782E+0	-1.021525E+1	1.394101E+0	1.398302E+0	1.384194E+0	1.382467E+0
11/14/2017  15:40:10.304331	1.388528E+0	6.491534E-1	1.393418E+0	-1.021779E+1	1.381351E+0	1.393214E+0	1.401994E+0	1.390098E+0
11/14/2017  15:40:10.305331	1.385986E+0	6.109958E-1	1.395963E+0	-1.021270E+1	1.383901E+0	1.395758E+0	1.394366E+0	1.387555E+0
11/14/2017  15:40:10.306331	1.380902E+0	6.898549E-1	1.378147E+0	-1.021779E+1	1.389001E+0	1.372862E+0	1.381651E+0	1.390098E+0
11/14/2017  15:40:10.307331	1.388528E+0	7.076618E-1	1.393418E+0	-1.021015E+1	1.391551E+0	1.398302E+0	1.384194E+0	1.377379E+0
11/14/2017  15:40:10.308331	1.396154E+0	6.695042E-1	1.393418E+0	-1.020761E+1	1.389001E+0	1.403390E+0	1.394366E+0	1.392642E+0
11/14/2017  15:40:10.309331	1.388528E+0	7.509071E-1	1.390873E+0	-1.021779E+1	1.381351E+0	1.395758E+0	1.399452E+0	1.387555E+0
11/14/2017  15:40:10.310331	1.370734E+0	6.288027E-1	1.401053E+0	-1.020252E+1	1.381351E+0	1.385582E+0	1.399452E+0	1.392642E+0
11/14/2017  15:40:10.311331	1.388528E+0	5.728382E-1	1.388327E+0	-1.021270E+1	1.389001E+0	1.395758E+0	1.384194E+0	1.395186E+0
11/14/2017  15:40:10.312331	1.396154E+0	5.295929E-1	1.375601E+0	-1.021015E+1	1.399201E+0	1.403390E+0	1.381651E+0	1.379923E+0
11/14/2017  15:40:10.313331	1.373276E+0	6.873110E-1	1.401053E+0	-1.021779E+1	1.383901E+0	1.405934E+0	1.394366E+0	1.385011E+0
11/14/2017  15:40:10.314331	1.368192E+0	5.041545E-1	1.388327E+0	-1.021525E+1	1.376251E+0	1.385582E+0	1.404537E+0	1.385011E+0
11/14/2017  15:40:10.315331	1.393612E+0	5.550313E-1	1.383237E+0	-1.019743E+1	1.391551E+0	1.377950E+0	1.394366E+0	1.397730E+0
11/14/2017  15:40:10.316331	1.403780E+0	7.381879E-1	1.375601E+0	-1.020252E+1	1.399201E+0	1.385582E+0	1.381651E+0	1.395186E+0
11/14/2017  15:40:10.317331	1.398696E+0	7.407317E-1	1.385782E+0	-1.021779E+1	1.391551E+0	1.398302E+0	1.386737E+0	1.377379E+0
11/14/2017  15:40:10.318331	1.380902E+0	6.567850E-1	1.403599E+0	-1.020252E+1	1.381351E+0	1.380494E+0	1.401994E+0	1.397730E+0
11/14/2017  15:40:10.319331	1.393612E+0	6.949426E-1	1.378147E+0	-1.021525E+1	1.389001E+0	1.390670E+0	1.394366E+0	1.395186E+0
11/14/2017  15:40:10.320331	1.393612E+0	6.618726E-1	1.390873E+0	-1.021779E+1	1.383901E+0	1.393214E+0	1.394366E+0	1.392642E+0
11/14/2017  15:40:10.321331	1.396154E+0	6.796795E-1	1.375601E+0	-1.018979E+1	1.401751E+0	1.393214E+0	1.381651E+0	1.395186E+0
11/14/2017  15:40:10.322331	1.383444E+0	6.542411E-1	1.385782E+0	-1.021779E+1	1.381351E+0	1.408478E+0	1.399452E+0	1.374835E+0
11/14/2017  15:40:10.323331	1.383444E+0	8.145031E-1	1.385782E+0	-1.020761E+1	1.386451E+0	1.393214E+0	1.396909E+0	1.397730E+0
11/14/2017  15:40:10.324331	1.380902E+0	6.695042E-1	1.393418E+0	-1.020761E+1	1.383901E+0	1.383038E+0	1.396909E+0	1.397730E+0
11/14/2017  15:40:10.325331	1.398696E+0	8.780991E-1	1.378147E+0	-1.020506E+1	1.401751E+0	1.393214E+0	1.381651E+0	1.372291E+0
11/14/2017  15:40:10.326331	1.393612E+0	8.246784E-1	1.390873E+0	-1.021779E+1	1.386451E+0	1.372862E+0	1.371480E+0	1.385011E+0
11/14/2017  15:40:10.327331	1.385986E+0	6.974864E-1	1.385782E+0	-1.021779E+1	1.381351E+0	1.395758E+0	1.399452E+0	1.387555E+0
11/14/2017  15:40:10.328331	1.388528E+0	6.720480E-1	1.401053E+0	-1.019997E+1	1.381351E+0	1.388126E+0	1.394366E+0	1.387555E+0
								
11/14/2017  15:40:10.329331	1.373276E+0	5.931889E-1	1.388327E+0	-1.021015E+1	1.391551E+0	1.395758E+0	1.394366E+0	1.390098E+0
11/14/2017  15:40:10.330331	1.403780E+0	5.575752E-1	1.380692E+0	-1.021525E+1	1.391551E+0	1.393214E+0	1.391823E+0	1.397730E+0
11/14/2017  15:40:10.331331	1.388528E+0	4.710846E-1	1.390873E+0	-1.020506E+1	1.389001E+0	1.398302E+0	1.389280E+0	1.390098E+0
11/14/2017  15:40:10.332331	1.383444E+0	5.016107E-1	1.408689E+0	-1.019997E+1	1.381351E+0	1.403390E+0	1.404537E+0	1.395186E+0
11/14/2017  15:40:10.333331	1.388528E+0	6.923987E-1	1.390873E+0	-1.020506E+1	1.386451E+0	1.375406E+0	1.389280E+0	1.402818E+0
11/14/2017  15:40:10.334331	1.391070E+0	6.873110E-1	1.390873E+0	-1.021270E+1	1.391551E+0	1.388126E+0	1.384194E+0	1.382467E+0
11/14/2017  15:40:10.335331	1.396154E+0	6.440658E-1	1.390873E+0	-1.021015E+1	1.391551E+0	1.400846E+0	1.384194E+0	1.382467E+0
11/14/2017  15:40:10.336331	1.380902E+0	6.084520E-1	1.395963E+0	-1.021779E+1	1.378801E+0	1.388126E+0	1.399452E+0	1.385011E+0
11/14/2017  15:40:10.337331	1.398696E+0	6.008205E-1	1.383237E+0	-1.021015E+1	1.386451E+0	1.380494E+0	1.391823E+0	1.400274E+0
11/14/2017  15:40:10.338331	1.388528E+0	5.041545E-1	1.390873E+0	-1.021270E+1	1.389001E+0	1.388126E+0	1.381651E+0	1.385011E+0
11/14/2017  15:40:10.339331	1.393612E+0	6.949426E-1	1.385782E+0	-1.021779E+1	1.386451E+0	1.400846E+0	1.389280E+0	1.379923E+0
11/14/2017  15:40:10.340331	1.375818E+0	6.771357E-1	1.403599E+0	-1.021015E+1	1.376251E+0	1.388126E+0	1.399452E+0	1.402818E+0
11/14/2017  15:40:10.341331	1.401238E+0	6.516973E-1	1.383237E+0	-1.021779E+1	1.386451E+0	1.385582E+0	1.394366E+0	1.395186E+0
11/14/2017  15:40:10.342331	1.396154E+0	6.237150E-1	1.378147E+0	-1.021779E+1	1.391551E+0	1.395758E+0	1.391823E+0	1.385011E+0
11/14/2017  15:40:10.343331	1.396154E+0	6.033643E-1	1.385782E+0	-1.020506E+1	1.394101E+0	1.398302E+0	1.391823E+0	1.382467E+0
11/14/2017  15:40:10.344331	1.385986E+0	6.008205E-1	1.385782E+0	-1.021779E+1	1.381351E+0	1.400846E+0	1.394366E+0	1.385011E+0
11/14/2017  15:40:10.345331	1.380902E+0	5.652067E-1	1.398508E+0	-1.020252E+1	1.378801E+0	1.390670E+0	1.394366E+0	1.390098E+0
