waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264	7/20/2017  11:47:33.492264
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/20/2017  11:47:33.492264	2.471706E-1	1.573716E-2	5.973136E-2	-1.021779E+1	9.121605E-1	1.437409E-2	1.508866E-1	-3.967810E-3
7/20/2017  11:47:33.592264	3.869804E-1	1.319332E-2	6.736697E-2	-1.021779E+1	1.498649E+0	1.946206E-2	3.314326E-1	6.207856E-3
7/20/2017  11:47:33.692264	4.505304E-1	1.319332E-2	-7.516440E-2	-1.021270E+1	1.679695E+0	1.437409E-2	6.518383E-1	8.751773E-3
7/20/2017  11:47:33.792264	6.005082E-1	8.105642E-3	1.900811E-2	-1.020761E+1	1.840342E+0	1.946206E-2	1.038359E+0	1.120023E-3
7/20/2017  11:47:33.892264	7.479441E-1	1.064948E-2	-6.752879E-2	-1.020506E+1	1.429800E+0	1.691808E-2	1.201105E+0	3.663940E-3
7/20/2017  11:47:33.992264	7.860741E-1	1.573716E-2	-3.195039E-1	-1.021525E+1	6.648155E-1	1.946206E-2	9.773298E-1	-9.055643E-3
7/20/2017  11:47:34.092264	6.360962E-1	2.082484E-2	-3.882244E-1	-1.021779E+1	4.761194E-1	1.183011E-2	7.230395E-1	-9.055643E-3
7/20/2017  11:47:34.192264	4.098584E-1	2.591253E-2	-3.653176E-1	-1.021779E+1	1.522760E-1	2.709402E-2	5.933515E-1	-9.055643E-3
7/20/2017  11:47:34.292264	-1.945217E-3	1.828100E-2	-3.449559E-1	-1.021779E+1	4.262821E-2	2.455003E-2	6.162377E-1	-6.511727E-3
7/20/2017  11:47:34.392264	-3.244919E-2	2.082484E-2	-3.169587E-1	-1.021015E+1	2.593738E-1	1.691808E-2	6.162377E-1	1.120023E-3
7/20/2017  11:47:34.492264	1.251547E-1	2.082484E-2	-2.660546E-1	-1.021779E+1	6.138166E-1	2.455003E-2	5.018071E-1	1.120023E-3
7/20/2017  11:47:34.592264	2.115826E-1	2.082484E-2	1.488135E-1	-1.021525E+1	6.495159E-1	1.691808E-2	2.729459E-1	1.638352E-2
7/20/2017  11:47:34.692264	9.973469E-2	5.561801E-3	8.920128E-1	-1.021525E+1	5.908671E-1	2.963800E-2	2.119857E-2	1.120023E-3
7/20/2017  11:47:34.792264	9.719269E-2	1.064948E-2	9.480072E-1	-1.019488E+1	2.746735E-1	1.183011E-2	-1.847765E-1	-3.967810E-3
7/20/2017  11:47:34.892264	2.064986E-1	4.741205E-4	8.436539E-1	-1.021525E+1	-3.322142E-1	1.946206E-2	-3.042929E-1	-9.055643E-3
7/20/2017  11:47:34.992264	3.361405E-1	2.591253E-2	6.196760E-1	-1.021525E+1	-5.132605E-1	4.198150E-3	-2.915784E-1	1.120023E-3
7/20/2017  11:47:35.092264	1.912466E-1	2.591253E-2	3.371585E-1	-1.021779E+1	-2.761153E-1	1.946206E-2	-2.788639E-1	-9.055643E-3
7/20/2017  11:47:35.192264	1.327807E-1	4.626325E-2	1.360875E-1	-1.021779E+1	-1.347064E-2	2.709402E-2	-2.534349E-1	-6.511727E-3
7/20/2017  11:47:35.292264	1.124447E-1	2.082484E-2	4.700535E-2	-1.021779E+1	6.010668E-1	2.709402E-2	-2.508920E-1	-6.511727E-3
7/20/2017  11:47:35.392264	-2.736519E-2	1.319332E-2	6.736697E-2	-1.021779E+1	9.606095E-1	2.455003E-2	-2.025768E-1	-6.511727E-3
7/20/2017  11:47:35.492264	-4.874668E-1	3.017961E-3	-1.353514E-3	-1.021779E+1	1.355851E+0	1.946206E-2	1.610582E-1	-1.423894E-3
7/20/2017  11:47:35.592264	-9.450264E-1	1.573716E-2	-2.176958E-1	-1.021779E+1	1.998438E+0	2.200605E-2	4.534919E-1	-3.967810E-3
7/20/2017  11:47:35.692264	-1.130592E+0	1.064948E-2	-3.144135E-1	-1.021779E+1	2.482929E+0	1.437409E-2	3.466900E-1	1.120023E-3
7/20/2017  11:47:35.792264	-1.379708E+0	1.064948E-2	-3.627724E-1	-1.021779E+1	1.995888E+0	1.183011E-2	1.458008E-1	1.120023E-3
7/20/2017  11:47:35.892264	-1.402586E+0	1.573716E-2	-2.736902E-1	-1.021779E+1	1.100857E+0	9.286120E-3	-3.983108E-2	1.120023E-3
7/20/2017  11:47:35.992264	-1.206852E+0	1.573716E-2	1.029998E-1	-1.021779E+1	6.954149E-1	1.437409E-2	-1.237468E-1	-1.423894E-3
7/20/2017  11:47:36.092264	-9.043544E-1	1.573716E-2	2.837092E-1	-1.021525E+1	4.990689E-1	1.946206E-2	-4.237398E-2	-1.423894E-3
7/20/2017  11:47:36.192264	-6.349026E-1	1.573716E-2	9.027380E-2	-1.021779E+1	3.129227E-1	1.946206E-2	7.205661E-2	-1.423894E-3
7/20/2017  11:47:36.292264	-2.586870E-1	2.082484E-2	-3.271395E-1	-1.021779E+1	1.956251E-1	2.963800E-2	1.229147E-1	-1.159956E-2
7/20/2017  11:47:36.392264	2.293766E-1	2.082484E-2	-7.369172E-1	-1.021779E+1	7.067764E-2	1.691808E-2	9.494273E-2	-9.055643E-3
7/20/2017  11:47:36.492264	6.157602E-1	1.573716E-2	-5.994762E-1	-1.021525E+1	-1.996169E-1	2.709402E-2	-9.316253E-3	-9.055643E-3
7/20/2017  11:47:36.592264	9.563879E-1	2.336868E-2	-3.576819E-1	-1.021779E+1	-7.249062E-1	2.709402E-2	-9.316253E-3	1.120023E-3
7/20/2017  11:47:36.692264	1.406322E+0	2.082484E-2	-3.882244E-1	-1.021779E+1	-1.099749E+0	3.726996E-2	8.985693E-2	-3.967810E-3
7/20/2017  11:47:36.792264	1.093656E+0	1.573716E-2	2.506216E-1	-1.021779E+1	-1.194097E+0	1.946206E-2	4.077197E-1	-1.423894E-3
7/20/2017  11:47:36.892264	-6.018567E-1	1.064948E-2	1.151623E+0	-1.021779E+1	-1.334344E+0	1.437409E-2	5.018071E-1	-3.967810E-3
7/20/2017  11:47:36.992264	-1.443258E+0	5.561801E-3	5.687720E-1	-1.021270E+1	-1.380243E+0	1.691808E-2	2.348023E-1	-3.967810E-3
7/20/2017  11:47:37.092264	-1.738130E+0	1.064948E-2	1.137250E-2	-1.021525E+1	-1.257845E+0	9.286120E-3	3.391308E-2	-3.967810E-3
7/20/2017  11:47:37.192264	-1.822016E+0	1.573716E-2	-6.752879E-2	-1.021779E+1	-1.158397E+0	2.200605E-2	1.000285E-1	1.120023E-3
7/20/2017  11:47:37.292264	-1.791512E+0	1.319332E-2	-4.207676E-2	-1.021779E+1	-9.824509E-1	1.691808E-2	1.686869E-1	-1.423894E-3
