	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.003292	1.020055	0.511673	0.308357	50.247287	30.281268
Wfm2	0.003221	1.017995	0.510608	0.307692	50.221868	30.263672
Wfm3	0.002599	1.017033	0.509816	0.307125	50.127774	30.198117
Wfm4	0.067019	7.458788	3.762904	2.268360	50.452902	30.414105
Wfm5	0.002599	1.019722	0.511161	0.308012	50.234555	30.270027
Wfm6	0.003290	1.022784	0.513037	0.309148	50.193456	30.245727
Wfm7	0.004033	1.020079	0.512056	0.308570	50.226451	30.266980
Wfm8	0.003935	1.018220	0.511077	0.308041	50.225190	30.272179
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093	7/25/2017  17:21:52.710093
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/25/2017  17:21:52.710093	2.062503E-2	2.052501E-2	2.062211E-2	1.514589E-1	2.048094E-2	2.065683E-2	2.067391E-2	2.049748E-2
7/25/2017  17:21:52.810093	1.350665E-1	1.344115E-1	1.349719E-1	9.916653E-1	1.343498E-1	1.352370E-1	1.353112E-1	1.344953E-1
7/25/2017  17:21:52.910093	4.074926E-1	4.055164E-1	4.070161E-1	2.991278E+0	4.061312E-1	4.080623E-1	4.080397E-1	4.064752E-1
7/25/2017  17:21:53.010093	7.633783E-1	7.597510E-1	7.623486E-1	5.603785E+0	7.624501E-1	7.650073E-1	7.643422E-1	7.625795E-1
7/25/2017  17:21:53.110093	1.010179E+0	1.005733E+0	1.009038E+0	7.419516E+0	1.011092E+0	1.013631E+0	1.012072E+0	1.010427E+0
7/25/2017  17:21:53.210093	1.013334E+0	1.009689E+0	1.012651E+0	7.453488E+0	1.016277E+0	1.018276E+0	1.016580E+0	1.014944E+0
7/25/2017  17:21:53.310093	8.001802E-1	7.985735E-1	8.000413E-1	5.901605E+0	8.040346E-1	8.053138E-1	8.041514E-1	8.025874E-1
7/25/2017  17:21:53.410093	5.061352E-1	5.064767E-1	5.065284E-1	3.749382E+0	5.095492E-1	5.108728E-1	5.096725E-1	5.082831E-1
7/25/2017  17:21:53.510093	2.597331E-1	2.606103E-1	2.602783E-1	1.935981E+0	2.618725E-1	2.641274E-1	2.621248E-1	2.609415E-1
7/25/2017  17:21:53.610093	1.111258E-1	1.113938E-1	1.108041E-1	8.325476E-1	1.119601E-1	1.149505E-1	1.123284E-1	1.114560E-1
7/25/2017  17:21:53.710093	3.565969E-2	3.580866E-2	3.420748E-2	2.668956E-1	3.590091E-2	3.874297E-2	3.636593E-2	3.597185E-2
7/25/2017  17:21:53.810093	1.821494E-2	1.737953E-2	2.016051E-2	1.339400E-1	1.807385E-2	1.646505E-2	1.755901E-2	1.709256E-2
7/25/2017  17:21:53.910093	8.506249E-2	8.380674E-2	8.718660E-2	6.262093E-1	8.542519E-2	8.612256E-2	8.534773E-2	8.357894E-2
7/25/2017  17:21:54.010093	1.687557E-1	1.676245E-1	1.705336E-1	1.242966E+0	1.699857E-1	1.734297E-1	1.711295E-1	1.681814E-1
7/25/2017  17:21:54.110093	2.536635E-1	2.528509E-1	2.541641E-1	1.873138E+0	2.553333E-1	2.609884E-1	2.582688E-1	2.551337E-1
7/25/2017  17:21:54.210093	3.231618E-1	3.227941E-1	3.225949E-1	2.396792E+0	3.248357E-1	3.311397E-1	3.294120E-1	3.273597E-1
7/25/2017  17:21:54.310093	3.713509E-1	3.717722E-1	3.713101E-1	2.768335E+0	3.732868E-1	3.780633E-1	3.782673E-1	3.778021E-1
7/25/2017  17:21:54.410093	4.032912E-1	4.049748E-1	4.052945E-1	3.016166E+0	4.060124E-1	4.076306E-1	4.094876E-1	4.102922E-1
7/25/2017  17:21:54.510093	4.280748E-1	4.308522E-1	4.321428E-1	3.194959E+0	4.317595E-1	4.300420E-1	4.318716E-1	4.336069E-1
7/25/2017  17:21:54.610093	4.513026E-1	4.541241E-1	4.557657E-1	3.343436E+0	4.556244E-1	4.520314E-1	4.516324E-1	4.538382E-1
7/25/2017  17:21:54.710093	4.721897E-1	4.738522E-1	4.752981E-1	3.471149E+0	4.764160E-1	4.732657E-1	4.701316E-1	4.717501E-1
7/25/2017  17:21:54.810093	4.870326E-1	4.867329E-1	4.882870E-1	3.567824E+0	4.904659E-1	4.892170E-1	4.852835E-1	4.854437E-1
7/25/2017  17:21:54.910093	4.939807E-1	4.918349E-1	4.936688E-1	3.620227E+0	4.965410E-1	4.971587E-1	4.943306E-1	4.931974E-1
7/25/2017  17:21:55.010093	4.936784E-1	4.907339E-1	4.922309E-1	3.624212E+0	4.960164E-1	4.977673E-1	4.960499E-1	4.944998E-1
7/25/2017  17:21:55.110093	4.877299E-1	4.849167E-1	4.856525E-1	3.585720E+0	4.906769E-1	4.925489E-1	4.909906E-1	4.899989E-1
7/25/2017  17:21:55.210093	4.778789E-1	4.756470E-1	4.757480E-1	3.514312E+0	4.813448E-1	4.825777E-1	4.806948E-1	4.807951E-1
7/25/2017  17:21:55.310093	4.654408E-1	4.640301E-1	4.634497E-1	3.417664E+0	4.678140E-1	4.686678E-1	4.666564E-1	4.677338E-1
7/25/2017  17:21:55.410093	4.509925E-1	4.499191E-1	4.481193E-1	3.300346E+0	4.501716E-1	4.516091E-1	4.495848E-1	4.511070E-1
7/25/2017  17:21:55.510093	4.341352E-1	4.321503E-1	4.288014E-1	3.164872E+0	4.293433E-1	4.319789E-1	4.299624E-1	4.309161E-1
7/25/2017  17:21:55.610093	4.138313E-1	4.098713E-1	4.058094E-1	3.012408E+0	4.065916E-1	4.096682E-1	4.084133E-1	4.076491E-1
7/25/2017  17:21:55.710093	3.899652E-1	3.839631E-1	3.806821E-1	2.843180E+0	3.829948E-1	3.847640E-1	3.851618E-1	3.822958E-1
7/25/2017  17:21:55.810093	3.637380E-1	3.568214E-1	3.549477E-1	2.658009E+0	3.584418E-1	3.581748E-1	3.601185E-1	3.556323E-1
